,record1
230,1443.2047858942065
231,1450.2299748110831
232,1450.2299748110831
233,1455.8501259445843
234,1458.660201511335
235,1468.4954659949622
236,1471.3055415617127
237,1475.5206549118386
238,1467.0904282115869
239,1427.749370277078
240,1385.5982367758186
241,1360.3075566750629
242,1350.4722921914358
243,1365.9277078085643
244,1398.2435768261964
245,1413.6989924433249
246,1405.268765743073
247,1372.9528967254407
248,1346.2571788413097
249,1319.5614609571787
250,1297.0808564231738
251,1274.6002518891687
252,1259.1448362720403
253,1246.4994962216624
254,1273.1952141057934
255,1327.9916876574307
256,1379.9780856423174
257,1431.964483627204
258,1454.445088161209
259,1433.3695214105792
260,1387.0032745591939
261,1349.0672544080603
262,1333.6118387909319
263,1304.1060453400503
264,1239.4743073047857
265,1131.2863979848867
266,1023.0984886649874
267,948.6314861460957
268,910.6954659949621
269,916.3156171284634
270,973.9221662468512
271,1025.908564231738
272,1052.604282115869
273,1091.9453400503778
274,1149.5518891687657
275,1216.9937027707808
276,1291.4607052896724
277,1344.8521410579344
278,1378.5730478589421
279,1415.1040302267002
280,1446.014861460957
281,1420.7241813602013
282,1356.092443324937
283,1335.0168765743072
284,1342.0420654911838
285,1350.4722921914358
286,1356.092443324937
287,1379.9780856423174
288,1465.6853904282116
289,1617.4294710327456
290,1807.1095717884132
291,1933.5629722921913
292,1958.853652392947
293,1920.9176322418136
294,1839.4254408060453
295,1743.882871536524
296,1638.5050377833752
297,1519.0768261964736
298,1391.2183879093197
299,1252.1196473551636
300,1114.4259445843827
301,1009.0481108312342
302,990.7826196473551
303,1051.1992443324937
304,1113.0209068010074
305,1173.437531486146
306,1238.0692695214104
307,1292.8657430730477
308,1337.826952141058
309,1363.1176322418135
310,1384.1931989924433
311,1406.6738035264484
312,1427.749370277078
313,1437.5846347607053
314,1436.17959697733
315,1434.7745591939547
316,1433.3695214105792
317,1436.17959697733
318,1431.964483627204
319,1427.749370277078
320,1396.8385390428211
321,1329.396725440806
322,1254.9297229219142
323,1170.6274559193953
324,1149.5518891687657
325,1177.652644836272
326,1207.1584382871536
327,1214.18362720403
328,1180.4627204030226
329,1142.526700251889
330,1141.1216624685137
331,1155.1720403022669
332,1176.2476070528967
333,1236.6642317380351
334,1340.6370277078086
335,1462.875314861461
336,1534.532241813602
337,1528.9120906801006
338,1505.0264483627204
339,1498.0012594458437
340,1524.6969773299747
341,1561.227959697733
342,1575.2783375314862
343,1561.227959697733
344,1535.9372795969773
345,1485.355919395466
346,1437.5846347607053
347,1372.9528967254407
348,1319.5614609571787
349,1291.4607052896724
350,1264.7649874055414
351,1253.5246851385389
352,1264.7649874055414
353,1290.0556675062971
354,1294.270780856423
355,1270.3851385390428
356,1266.1700251889167
357,1281.6254408060454
358,1290.0556675062971
359,1308.3211586901762
360,1367.3327455919396
361,1409.483879093199
362,1415.1040302267002
363,1398.2435768261964
364,1364.5226700251887
365,1353.2823677581864
366,1364.5226700251887
367,1356.092443324937
368,1333.6118387909319
369,1297.0808564231738
370,1273.1952141057934
371,1225.4239294710328
372,1183.2727959697731
373,1163.6022670025188
374,1191.7030226700251
375,1250.7146095717883
376,1304.1060453400503
377,1336.4219143576825
378,1361.7125944584382
379,1371.5478589420654
380,1385.5982367758186
381,1389.8133501259445
382,1402.4586901763223
383,1441.7997481108312
384,1457.2551637279596
385,1454.445088161209
386,1438.9896725440806
387,1431.964483627204
388,1429.1544080604533
389,1416.5090680100755
390,1415.1040302267002
391,1402.4586901763223
392,1391.2183879093197
393,1384.1931989924433
394,1384.1931989924433
395,1384.1931989924433
396,1388.4083123425692
397,1387.0032745591939
398,1392.623425692695
399,1402.4586901763223
400,1402.4586901763223
401,1410.8889168765743
402,1403.8637279596976
403,1405.268765743073
404,1398.2435768261964
405,1389.8133501259445
406,1379.9780856423174
407,1367.3327455919396
408,1357.4974811083123
409,1353.2823677581864
410,1356.092443324937
411,1358.9025188916876
412,1350.4722921914358
413,1323.7765743073046
414,1304.1060453400503
415,1292.8657430730477
416,1285.8405541561713
417,1281.6254408060454
418,1287.2455919395466
419,1318.1564231738034
420,1363.1176322418135
421,1399.6486146095717
422,1413.6989924433249
423,1399.6486146095717
424,1350.4722921914358
425,1320.966498740554
426,1323.7765743073046
427,1344.8521410579344
428,1354.6874055415617
429,1379.9780856423174
430,1402.4586901763223
431,1415.1040302267002
432,1430.5594458438286
433,1441.7997481108312
434,1451.6350125944584
435,1462.875314861461
436,1465.6853904282116
437,1444.6098236775817
438,1423.5342569269521
439,1415.1040302267002
440,1416.5090680100755
441,1412.2939546599496
442,1416.5090680100755
443,1415.1040302267002
444,1408.0788413098237
